公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
ST榕泰,2596.0066,1.8573,42020.0116,13.919999999999998,-0.9262499999999999
ST步森,9876.74,70.5676,36833.68,3.655138888888889,0.19708333333333333
ST毅达,10716.2863,9.9792,124250.5355,7.24875,
ST沈机,9954.9941,13.0032,57398.4335,12.496666666666668,1.72
ST浩源,2775.948,6.3486,27736.9,2.853478260869565,1.4892134831460673
ST海投,4284.8658000000005,3.0004,9453.014500000001,0.9442857142857143,-1.8242857142857145
ST海越,1437.3346999999999,3.2025,113809.6388,8.49741935483871,0.558235294117647
ST海马,5140.5672,3.1254,44404.0709,5.4,2.0
ST瀚叶,13774.7664,3.0577,62106.7536,1.816153846153846,0.38
ST熊猫,2613.897,15.7287,8128.5683,3.2633333333333336,-2.3939999999999997
ST狮头,5475.9626,22.419,41102.9869,3.8025531914893618,
ST瑞德,24838.4479,31.6415,163754.7878,0.6786037735849058,-0.07992982456140349
ST目药,20624.6281,155.7954,93374.581,5.324513888888889,0.5271612903225806
ST粤泰,33704.7976,11.5684,33201.2756,0.6,-0.9178947368421051
ST红太阳,19316.027000000002,33.2376,12026198.6106,35.09681355932203,-0.9734237288135592
ST维维,43410.2634,25.9631,2025595.0505000001,13.925036781609196,0.8829885057471264
ST网力,9413.1678,11.2734,111607.56509999999,2.7224444444444447,-0.9394117647058823
ST罗普,2166.8042,8.6153,52998.8489,30.127142857142854,2.03
ST美讯,6718.2261,26.6159,51269.0807,10.687368421052632,-0.4931578947368421
ST联建,4794.0658,6.4871,14635.6924,1.335,-2.384933333333333
ST舍得,674.7,1.9998,20693.7536,30.675,
ST花王,11901.3396,33.5112,141942.1102,7.28,-1.4624590163934426
ST荣华,3382.9426,5.0792,9839.8469,4.926666666666667,0.89
ST西源,14792.001,22.3497,422883.1964,37.58470588235294,-0.8958823529411765
ST贵人,4579.3459,5.7965,18035.1693,2.873,4.659999999999999
ST起步,15484.9326,32.2973,814404.444,18.70076086956522,-2.729673913043478
ST辅仁,14823.6848,37.2628,202289.3391,13.050512820512822,0.5367441860465116
ST辉丰,843.5,2.0591,904.466,0.41999999999999993,-2.13
ST运盛,21495.2073,56.7209,313878.0549,16.733818181818183,3.6385964912280704
ST远程,46086.2849,64.179,1816789.8636,16.113757961783442,-0.5291082802547771
ST通葡,3464.785,6.6665,28619.616599999998,4.77,0.3647368421052632
ST银河,5588.7672999999995,5.0853,195436.01400000002,17.769,3.6100000000000003
ST雪莱,4050.7954,5.1319,93532.799,9.298461538461538,-2.5533333333333337
